u,v,diff_hour_00_avg,diff_hour_01_avg,diff_hour_02_avg,diff_hour_03_avg,diff_hour_04_avg,diff_hour_05_avg,diff_hour_06_avg,diff_hour_07_avg,diff_hour_08_avg,diff_hour_09_avg,diff_hour_10_avg,diff_hour_11_avg,diff_hour_12_avg,diff_hour_13_avg,diff_hour_14_avg,diff_hour_15_avg,diff_hour_16_avg,diff_hour_17_avg,diff_hour_18_avg,diff_hour_19_avg,diff_hour_20_avg,diff_hour_21_avg,diff_hour_22_avg,diff_hour_23_avg,edge_classification,TimeServed
1252948,1184198,6.396888872981215,6.614261309268138,6.7172242098829935,6.7468702247413255,6.690077658800995,6.2539196625229065,4.61187736290596,3.2728643857149655,3.4779346329149483,3.5711367336971827,2.9343853084314517,2.2266869623960557,1.8732653704797722,1.638902340369156,1.1567897101233728,0.45094588079175374,1.0175017133629285,1.9225037097582656,2.603551753476789,3.3115049829087213,4.013810027619558,4.716918121555914,5.374286890404512,5.989225508224453,1,0
1184198,359194,14.979240501531125,15.130890028750335,15.202721929179289,15.223404423307777,15.183783181895881,14.879498263999741,13.733930119922077,12.799769890593979,12.94283681557224,13.007859109846969,12.56363051192922,12.069905909935882,11.823341910200334,11.659838922788333,11.323493829123024,10.831063027696821,11.22631978435062,11.857692957647705,12.332825019502843,12.826727440483912,13.31668941456549,13.80721163463531,14.265823888826437,14.694834817047962,1,0
1791356,1792058,24.120748509545326,24.50973076395351,24.69398016505377,24.747030928484474,24.645402126275467,23.86490886977784,20.926517386252772,18.530388900753092,18.89735671153201,19.06413941819496,17.924689499298385,16.65828193270873,16.02584329454275,15.606456819607963,14.743728954957616,13.480639997206294,14.4944767502284,16.113954006935842,17.332671558853196,18.599535232573498,19.856291628371842,21.11448505962637,22.290829172302807,23.391245646296387,1,0
1792058,1752128,7.921744922360873,8.022033213234574,8.069536813518246,8.083214482187486,8.057012312907068,7.855783763672385,7.098200978182817,6.480425674036469,6.575038150908129,6.6180384482455095,6.324262874662664,5.997754791161451,5.834698020870847,5.726570844604808,5.504140381378309,5.178487909167082,5.439877610196558,5.857414925442785,6.171627460730613,6.498253138811191,6.822272935475094,7.146663231893661,7.449950950556169,7.733662832461898,1,0
1281106,1279425,1.5581266630737243,1.573218590341125,1.5803671903838137,1.582425480329185,1.5784824354374711,1.548200469290504,1.4341952928333364,1.3412291062870414,1.3554669062046214,1.3619378247359748,1.317728879196809,1.268594167601966,1.2440564982863898,1.227784932925966,1.194312387488969,1.1453064329329103,1.1846417762917147,1.2474750615957586,1.294759472245869,1.3439118801123635,1.3926721407753782,1.441488156255842,1.4871285411031128,1.5298230476034897,1,0
1279425,509782,1.5675819327022378,1.579266005425387,1.5848004054584364,1.586393920254853,1.5833412403386875,1.559897137515229,1.4716350654193573,1.3996612435770643,1.410684056416481,1.4156937997955934,1.3814675193781747,1.3434277426595864,1.3244308373830116,1.3118334964588125,1.2859192677333955,1.2479791738835435,1.2784323429355213,1.3270774670418775,1.3636847527064793,1.4017382297644103,1.4394881089873894,1.4772811532303294,1.5126156447249908,1.545669456209153,1,0
1602213,1794165,13.969065563002006,14.088340472050826,14.144837472388204,14.161104602601624,14.129941828457433,13.890616612134629,12.989607959489271,12.254875194849197,12.367399742584908,12.418540872913347,12.069147593652197,11.680824872983278,11.48689813161824,11.358300276350375,11.093759191445073,10.706454066727837,11.01733016746678,11.513915809385834,11.887615183878639,12.276077762178359,12.661441112579597,13.047245105892943,13.407951373234276,13.745375698801771,1,0
1794165,1753371,10.5339459900961,10.665878644594994,10.728371244968175,10.746364682877712,10.711894838824342,10.447171844442794,9.450545947026908,8.63784154205768,8.762307470369432,8.818875822691906,8.43240407297855,8.00287159419783,7.788364872116502,7.646119897514089,7.353505064822919,6.925098171768343,7.2689652056469285,7.818249732014533,8.231606999310657,8.661294177756469,9.08755323064927,9.514299688559134,9.913284988353016,10.28651760969502,1,0
1753371,1753445,4.596036326584912,4.669548617468059,4.704369217675995,4.714395081603449,4.695188637130907,4.547686156866649,3.992370619930123,3.5395353241723626,3.6088871882870266,3.64040682371394,3.42506647608768,3.185732880899898,3.0662106852014457,2.9869524152200277,2.823908726155944,2.5852023023506265,2.7768034909693218,3.082862396805146,3.313183235778265,3.5526030289344166,3.790112685712325,4.027893922407487,4.250206764728065,4.4581703286492536,1,0
1753445,981222,5.8967117029869485,5.969980575688364,6.0046858758956105,6.01467854159814,5.995535694623853,5.8485216331684144,5.295044889400553,4.8437090482645075,4.912831270445015,4.944246536218199,4.729619236100635,4.491078136261156,4.371951709422633,4.292955884043803,4.130452074744832,3.8925360695613858,4.083502817158164,4.388548282908441,4.618106470096879,4.8567334824809905,5.0934566834417545,5.330450565048522,5.552027272129627,5.759302214978231,1,0
