,Name,Latitude,Longitude,geometry
329,"Infogo/Hatteland Elektriske, Kleppe",58.78008,5.62276,POINT (5.62276 58.78008)
330,Circle K Ålgård,58.77161,5.847608,POINT (5.847608 58.77161)
331,Extra Ålgård,58.76967,5.85686,POINT (5.85686 58.76967)
332,Rådhuset i Time,58.73631,5.65156,POINT (5.65156 58.73631)
333,Risør Kommunehus,58.71835,9.21214,POINT (9.21214 58.71835)
334,Frolandssenteret,58.50803,8.62977,POINT (8.62977 58.50803)
335,"Kiwi Stoa Øst, Arendal",58.46816,8.72101,POINT (8.72101 58.46816)
336,OBS Arendal,58.46437,8.70981,POINT (8.70981 58.46437)
337,YX Soknadal,58.34341,6.28138,POINT (6.28138 58.34341)
338,"Vinkelbygget, Dahlske VGS",58.33808,8.58142,POINT (8.58142 58.33808)
339,Tollbukaia Flekkefjord Sentrum,58.294173,6.660833,POINT (6.660833 58.294173)
340,Langbrygga,58.24647,8.37919,POINT (8.37919 58.24647)
341,Obs Bygg Sørlandsparken,58.18854,8.15498,POINT (8.15498 58.18854)
342,McDonalds Sørlandsparken,58.17845,8.13453,POINT (8.13453 58.17845)
343,Obs Sørlandssenteret,58.17774,8.12642,POINT (8.12642 58.17774)
344,TP Torvet Kristiansand,58.14715,7.99687,POINT (7.99687 58.14715)
345,Slettheiveien 45,58.13668,7.93725,POINT (7.93725 58.13668)
346,Stamsøyveien 2,58.13405,7.03889,POINT (7.03889 58.13405)
347,Vågsbygd Videregående skole,58.12563,7.95485,POINT (7.95485 58.12563)
348,Amfi Vågsbygd,58.12415,7.95395,POINT (7.95395 58.12415)
349,Bryggegata 10,58.02582,7.45172,POINT (7.45172 58.02582)
350,Syrstadeng bil AS,63.093577,9.598497,POINT (9.598497 63.093577)
351,IONITY Elverum,60.88007,11.55093,POINT (11.55093 60.88007)
352,IONITY Røldal,59.832465,6.813151,POINT (6.813151 59.832465)
353,IONITY Høydalsmo,59.49497,8.2027,POINT (8.2027 59.49497)
354,IONITY Lura,58.873054,5.7206,POINT (5.7206 58.873054)
355,Extra Porsgrunn,59.1393306278071,9.65446226091285,POINT (9.65446226091285 59.1393306278071)
356,Burger King Grelland Nordgående,59.5146420105174,10.2035013726705,POINT (10.2035013726705 59.5146420105174)
357,Burger King Grelland Sørgående,59.5136567965356,10.2029024422529,POINT (10.2029024422529 59.5136567965356)
358,Coop Extra Tangvall,58.0984247090946,7.81604208204431,POINT (7.81604208204431 58.0984247090946)
359,IONITY Vik,60.083312,10.287055,POINT (10.287055 60.083312)
360,Borgundvegen,62.4665622156925,6.35159822911726,POINT (6.35159822911726 62.4665622156925)
361,Circle K Økern,59.9273890044086,10.8105093663315,POINT (10.8105093663315 59.9273890044086)
362,Finnmarkseiendommen (FEFO) hovedkontor,70.05104,24.96965,POINT (24.96965 70.05104)
363,Extra ABC Namsos,64.46801,11.50828,POINT (11.50828 64.46801)
364,Krokstadøra,63.40045,9.50253,POINT (9.50253 63.40045)
365,Rindal,63.05529,9.21239,POINT (9.21239 63.05529)
366,Circle K Brattvåg,62.58501,6.45163,POINT (6.45163 62.58501)
367,Extra Digernes,62.49271,6.60697,POINT (6.60697 62.49271)
368,Kiwi Klokkersund,62.466767827464906,6.246670075818429,POINT (6.246670075818429 62.466767827464906)
369,Kiwi Sjusjøen,61.15232,10.69057,POINT (10.69057 61.15232)
370,Rema 1000 Gol,60.701748,8.961616,POINT (8.961616 60.701748)
371,Frikvarteret,59.02148,6.92675,POINT (6.92675 59.02148)
372,Amfi Havnesenteret,65.47296,12.20712,POINT (12.20712 65.47296)
373,Circle K Hommelstø,65.40361,12.54725,POINT (12.54725 65.40361)
374,Domus Røros,62.57613,11.38022,POINT (11.38022 62.57613)
375,Rema 1000 Røros,62.57459,11.39597,POINT (11.39597 62.57459)
376,Extra Fetsund,59.92811,11.16421,POINT (11.16421 59.92811)
377,Coop Marked Trofors,65.53696,13.38759,POINT (13.38759 65.53696)
378,Majavatn,65.16748,13.36988,POINT (13.36988 65.16748)
379,NAF Mofjæra,63.73784,11.28169,POINT (11.28169 63.73784)
380,Extra Stjørdal,63.467581860169645,10.942828561071453,POINT (10.942828561071453 63.467581860169645)
381,Smølasenteret,63.46089,8.01051,POINT (8.01051 63.46089)
382,Kiwi Heidal,61.75889,9.28585,POINT (9.28585 61.75889)
383,Krokstrand Cafe og Overnatting,66.46263,15.09289,POINT (15.09289 66.46263)
384,Coop Prix Storforshei,66.40434,14.52831,POINT (14.52831 66.40434)
385,Circle K Namsskogan,64.93368,13.16657,POINT (13.16657 64.93368)
386,Circle K Harran,64.55928,12.48518,POINT (12.48518 64.55928)
387,Snåsakroa,64.25328,12.21518,POINT (12.21518 64.25328)
388,"Magneten, Levanger",63.73403,11.28225,POINT (11.28225 63.73403)
389,Coop Prix Tingvoll,62.90934,8.20767,POINT (8.20767 62.90934)
390,Sunndalsporten,62.54921,9.11493,POINT (9.11493 62.54921)
391,Joker Folldal,62.13476,9.99351,POINT (9.99351 62.13476)
392,Circle K Rygge,59.3865614656138,10.7519781589508,POINT (10.7519781589508 59.3865614656138)
393,Fortum hurtigladestasjon Meny Helgeroa,58.98795844318089,9.873829999999998,POINT (9.873829999999998 58.98795844318089)
